Approved Symbol	UniProt ID(supplied by UniProt)
DYT12~withdrawn	
SAA@	
IDDM18	
TRD-GTC2-7	
RN7SL302P	
ZNF94~withdrawn	
ZNF103~withdrawn	
ZNF104~withdrawn	
PCDHA@	
BRCA3	
RNU7-152P	
ZNF113~withdrawn	
SSAV1L~withdrawn	
RN7SL428P	
RONU~withdrawn	
ACTL5~withdrawn	
GAD3~withdrawn	
IL14~withdrawn	
HLTF-AS1	
PRSS3P4	
RN7SL208P	
SPG12~withdrawn	
SPG13~withdrawn	
NFIXL3~withdrawn	
NFIXL5~withdrawn	
RPL7AL1~withdrawn	
RPL17L1~withdrawn	
YWHAA~withdrawn	
YWHAD~withdrawn	
HPV6AI1	
KDM4F	
URGCP-MRPS24	
LINC01754	
CRSP4~withdrawn	
RPS17L3~withdrawn	
TRBJ2-2P	
TRBJ2-3	
TRBJ2-4	
TRBJ2-5	
TRBJ2-6	
TRBJ2-7	
THAP9-AS1	
DFNM1	
LINC00674	
LINC00673	
MIR3659	
MIR3685	
MIR3919	
IBGC1	
TRG-GCC1-1	
RN7SL147P	
LINC01077	
RNU4-89P	
USH3B~withdrawn	
RN7SL747P~withdrawn	
TRV-CAC11-2	
HMGN1P9	
MTCYBP35	
PQBP2~withdrawn	
PQBP3~withdrawn	
RP28~withdrawn	
PQBP4	
OTSC2	
HIGD1AP6	
PQBP5~withdrawn	
CFM2	
LINC01888	
LINC01986	
RNU6-361P	
RNU6-682P	
USH2C~withdrawn	
GDF4~withdrawn	
MRX69	
GRTP1-AS1	
USP17L9P	
MRX68~withdrawn	
HSPA9A~withdrawn	
LINC01941	
LINC02206	
CSE1L-AS1	
TOMM20P1	
UBBP4	
MCPH4~withdrawn	
MRX74~withdrawn	
B2MR	
TRI-AAT10-1	
ARHGAP42P1	
RN7SKP246	
DIANPH	
BNIP3P20	
PCANAP2~withdrawn	
TRY-GTA2-1	
RN7SL78P	
CMM	
MIR3654	
MIR374C	
RNU6-1120P	
PGFL~withdrawn	
LINC01562	
LINC01661	
RNU7-126P	
RNU7-129P	
ZNF279~withdrawn	
ZNF280~withdrawn	
DYX4	
FEB4	
LINC02474	
